bbchallenge_id,machine
2728680,1RB---_1LC0RC_0LA0LD_1RE1LD_1RB0RB
2737596,1RB---_1LC0RC_0LE0RD_1LB1RD_0LA0LE
2744827,1RB---_1LC0RC_1RD0LC_0RE1RA_0LB0RD
2755752,1RB---_1LC0RC_1LD0LC_1RE0LC_1RA0RD
2773413,1RB---_1LC0RD_0RB1LD_1RE0LC_0RA0LD
2788393,1RB---_1LC0RD_0RE1LD_1RE0LC_0RA0LD
2792741,1RB---_1LC0RD_0LC1LD_0RE0RB_1RA1RB
2792742,1RB---_1LC0RD_0LC1LD_0RE0RB_1RA1RD
2792802,1RB---_1LC0RD_0LC1LD_0RE1LA_0RB1RE
2793432,1RB---_1LC0RD_0LD0LB_1RE0RB_1RC0RA
2816021,1RB---_1LC0RD_1RD0LC_0RE1RA_0LB0RD
2816022,1RB---_1LC0RD_1RD0LC_0RE1RA_0LB1RE
2819235,1RB---_1LC0RD_1RD1LB_1RA0LE_1LB0RC
2823847,1RB---_1LC0RD_1RE0LD_1LC0LD_1RA0RC
2829238,1RB---_1LC0RD_1LA0LB_0LE0RC_1RD1LE
2858170,1RB---_1LC0RE_0RB1LD_0LC0LE_1RA1RB
2861307,1RB---_1LC0RE_0RD0LB_0RA0RA_0LA1RD
2861320,1RB---_1LC0RE_0RD0LB_0RA0LC_0LA1RD
2861567,1RB---_1LC0RE_0RD0LB_0LB0RA_0LA1RD
2861580,1RB---_1LC0RE_0RD0LB_0LB0RA_1LD1RD
2862453,1RB---_1LC0RE_0RD0LB_1LC0RA_0LA1RD
2862507,1RB---_1LC0RE_0RD0LB_1LE0RA_0LA1RD
2862772,1RB---_1LC0RE_0RD0LC_0LB0RA_0LA1RD
2862802,1RB---_1LC0RE_0RD0LC_0LB0RA_1LD1RD
2874550,1RB---_1LC0RE_0LA0LD_1LE0LC_0RB1LA
2874552,1RB---_1LC0RE_0LA0LD_1LE0LD_0RB1LA
2877979,1RB---_1LC0RE_0LC1LD_1LA1LC_1RA0RE
2882410,1RB---_1LC0RE_0LD1LB_0RA1LE_0LA1RC
2883736,1RB---_1LC0RE_0LD1LB_1LA0LA_1RB1RC
2883737,1RB---_1LC0RE_0LD1LB_1LA0LA_1RE1RC
2883755,1RB---_1LC0RE_0LD1LB_1LA0LE_1RB1RC
2915595,1RB---_1LC0RE_1LA1LD_1LC0LB_1RB1RE
2922397,1RB---_1LC0RE_1LD0LB_1LA1LC_0RB1RE
2944661,1RB---_1LC0LB_0RD1RC_0RE0RA_1LE0LB
2944842,1RB---_1LC0LB_0RD1RC_1LE0RE_1LB1RA
2947235,1RB---_1LC0LB_0RD1LD_1LB0RE_0RA1RE
2951346,1RB---_1LC0LB_0LA0RD_1LE1RD_1LB1RC
2953149,1RB---_1LC0LB_0LD1LA_1RD1RE_0RE0LA
2955498,1RB---_1LC0LB_1RC1RD_0RD1LE_1LA0LE
